year,city,type,sub_type,female,male,percentage,pop_year,number,PourcentSexYear
2013,Abala,NiveauDeVie,riche,,,19.1,,,
2013,Abala,NiveauDeVie,moyen,,,38.6,,,
2013,Abala,NiveauDeVie,pauvre,,,42.3,,,
2015,Abala,NiveauDeVie,riche,,,32.8,,,
2015,Abala,NiveauDeVie,moyen,,,53.1,,,
2015,Abala,NiveauDeVie,pauvre,,,14.1,,,
2017,Abala,NiveauDeVie,riche,60.6,39.4,42.6,"14,604",6221,
2017,Abala,NiveauDeVie,moyen,60.6,39.4,18.7,"14,604",2731,
2017,Abala,NiveauDeVie,pauvre,60.6,39.4,38.7,"14,604",5652,
2013,Niamey,NiveauDeVie,riche,,,13.5,,,
2013,Niamey,NiveauDeVie,moyen,,,62.6,,,
2013,Niamey,NiveauDeVie,pauvre,,,23.9,,,
2015,Niamey,NiveauDeVie,riche,,,11.1,,,
2015,Niamey,NiveauDeVie,moyen,,,47.6,,,
2015,Niamey,NiveauDeVie,pauvre,,,41.3,,,
2017,Niamey,NiveauDeVie,riche,93.7,6.3,37.3,"4,092",,
2017,Niamey,NiveauDeVie,moyen,93.7,6.3,19.1,"4,092",,
2017,Niamey,NiveauDeVie,pauvre,93.7,6.3,43.6,"4,092",,
2013,Mangaize,NiveauDeVie,riche,,,27.1,,,
2013,Mangaize,NiveauDeVie,moyen,,,51.6,,,
2013,Mangaize,NiveauDeVie,pauvre,,,21.3,,,
2015,Mangaize,NiveauDeVie,riche,,,31.5,,,
2015,Mangaize,NiveauDeVie,moyen,,,55.4,,,
2015,Mangaize,NiveauDeVie,pauvre,,,13.1,,,
2017,Mangaize,NiveauDeVie,riche,59,41,42,"9,135",,
2017,Mangaize,NiveauDeVie,moyen,59,41,24.9,"9,135",,
2017,Mangaize,NiveauDeVie,pauvre,59,41,33.1,"9,135",,
2013,Intikane,NiveauDeVie,riche,,,53.4,,,
2013,Intikane,NiveauDeVie,moyen,,,17.3,,,
2013,Intikane,NiveauDeVie,pauvre,,,29.3,,,
2015,Intikane,NiveauDeVie,riche,,,56.3,,,
2015,Intikane,NiveauDeVie,moyen,,,26.9,,,
2015,Intikane,NiveauDeVie,pauvre,,,16.8,,,
2017,Intikane,NiveauDeVie,riche,60.1,39.9,42.2,"21,991",,
2017,Intikane,NiveauDeVie,moyen,60.1,39.9,21.8,"21,991",,
2017,Intikane,NiveauDeVie,pauvre,60.1,39.9,36,"21,991",,
2013,Taberybarey,NiveauDeVie,riche,,,47,,,
2013,Taberybarey,NiveauDeVie,moyen,,,27.4,,,
2013,Taberybarey,NiveauDeVie,pauvre,,,25.6,,,
2015,Taberybarey,NiveauDeVie,riche,,,30.3,,,
2015,Taberybarey,NiveauDeVie,moyen,,,41.5,,,
2015,Taberybarey,NiveauDeVie,pauvre,,,28.2,,,
2017,Taberybarey,NiveauDeVie,riche,61.9,38.1,39,"10,770",,
2017,Taberybarey,NiveauDeVie,moyen,61.9,38.1,18.9,"10,770",,
2017,Taberybarey,NiveauDeVie,pauvre,61.9,38.1,52.1,"10,770",,
